City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,santiago de cao,-7.9589,-79.2392,24.07,69,61,5.66,PE,1690135867
174,enewetak,11.3474,162.3373,28.55,78,41,8.36,MH,1690135868
175,san patricio,28.017,-97.5169,37.15,38,0,2.6,US,1690135868
176,broome,42.2506,-75.833,29.27,52,40,2.57,US,1690135868
177,miandrivazo,-19.5167,45.4667,23.53,69,62,1.24,MG,1690135868
178,mont-laurier,46.5501,-75.4993,25.79,33,62,2.58,CA,1690135868
179,nemuro,43.3236,145.575,15.64,98,100,5.72,JP,1690135780
180,newman,37.3138,-121.0208,36.24,11,88,0.91,US,1690135869
181,tura,25.5198,90.2201,24.42,94,99,1.46,IN,1690135869
182,hasaki,35.7333,140.8333,22.39,82,58,2.53,JP,1690135869
183,keflavik,64.0049,-22.5624,13.95,88,75,4.12,IS,1690135869
184,punta arenas,-53.15,-70.9167,2.35,71,10,4.22,CL,1690135659
185,rongelap,11.1635,166.8941,28.62,75,76,8.83,MH,1690135869
186,iskateley,67.6803,53.1512,16.45,87,99,2.71,RU,1690135870
187,ashland,40.8167,-82.2665,28.35,55,0,4.41,US,1690135870
188,novo oriente,-5.5344,-40.7742,34.47,26,45,3.39,BR,1690135870
189,caucete,-31.6518,-68.2811,16.1,36,38,3.31,AR,1690135870
190,ulladulla,-35.35,150.4667,9.72,87,53,3.73,AU,1690135870
191,coahuayana de hidalgo,18.7,-103.6583,28.98,67,97,0.51,MX,1690135871
192,invercargill,-46.4,168.35,8.11,93,93,0.99,NZ,1690135871
193,nampula,-15.1165,39.2666,20.97,68,0,3.6,MZ,1690135871
194,belmonte,-15.8631,-38.8828,24.28,77,15,5.32,BR,1690135871
195,ilulissat,69.2167,-51.1,10.01,76,75,2.06,GL,1690135871
196,ghat,24.9647,10.1728,37.83,9,4,7.19,LY,1690135872
197,raja,8.4596,25.678,26.03,62,39,1.45,SS,1690135872
198,hun,29.1268,15.9477,37.62,13,0,5.28,LY,1690135872
199,korkuteli,37.065,30.1957,28.04,28,0,3.02,TR,1690135872
200,sarmiento,-45.5882,-69.07,2.31,64,31,0.6,AR,1690135872
201,datong,40.0936,113.2914,20.76,61,37,1.81,CN,1690135873
202,verkhneyarkeyevo,55.4505,54.3145,17.08,65,79,2.69,RU,1690135873
203,tarko-sale,64.9225,77.785,19.24,62,58,2.77,RU,1690135873
204,akureyri,65.6835,-18.0878,10.96,93,100,3.6,IS,1690135873
205,klyuchi,52.2667,79.1667,19.02,72,99,2.84,RU,1690135873
206,jashpurnagar,22.9,84.15,23.07,93,72,2.15,IN,1690135874
207,dalbandin,28.8947,64.4101,31.63,42,96,2.94,PK,1690135874
